timestamp,device_id,src_ip,resistance_mOhm,voltage_V,valid
2026-04-25T14:44:22.571585,iws7817_02,10.3.113.8,46.1100,13.3100,1
2026-04-25T14:44:23.477894,iws7817_01,10.3.113.35,46.3600,13.3900,1
2026-04-25T14:44:23.479894,iws7817_03,10.3.113.25,45.1900,13.1100,1
2026-04-25T14:44:24.577491,iws7817_02,10.3.113.8,46.1400,13.3100,1
2026-04-25T14:44:25.473744,iws7817_01,10.3.113.35,46.3800,13.3900,1
2026-04-25T14:44:25.479815,iws7817_03,10.3.113.25,45.1900,13.1100,1
2026-04-25T14:44:26.598917,iws7817_02,10.3.113.8,46.1600,13.3100,1
2026-04-25T14:44:27.487629,iws7817_01,10.3.113.35,46.4000,13.3900,1
2026-04-25T14:44:27.496621,iws7817_03,10.3.113.25,45.1700,13.1100,1
2026-04-25T14:44:28.613832,iws7817_02,10.3.113.8,46.1800,13.3100,1
2026-04-25T14:44:29.499228,iws7817_01,10.3.113.35,46.3700,13.3900,1
2026-04-25T14:44:29.536249,iws7817_03,10.3.113.25,45.1600,13.1100,1
2026-04-25T14:44:30.615994,iws7817_02,10.3.113.8,46.1500,13.3100,1
2026-04-25T14:44:31.515332,iws7817_01,10.3.113.35,46.3800,13.3900,1
2026-04-25T14:44:31.537279,iws7817_03,10.3.113.25,45.1400,13.1100,1
2026-04-25T14:44:32.639432,iws7817_02,10.3.113.8,46.1300,13.3100,1
2026-04-25T14:44:33.564561,iws7817_01,10.3.113.35,46.3800,13.3900,1
2026-04-25T14:44:33.565585,iws7817_03,10.3.113.25,45.1600,13.1100,1
2026-04-25T14:44:34.655559,iws7817_02,10.3.113.8,46.1100,13.3100,1
2026-04-25T14:44:35.540260,iws7817_01,10.3.113.35,46.3700,13.3900,1
2026-04-25T14:44:35.553260,iws7817_03,10.3.113.25,45.1500,13.1100,1
2026-04-25T14:44:36.653784,iws7817_02,10.3.113.8,46.1300,13.3100,1
2026-04-25T14:44:37.575006,iws7817_03,10.3.113.25,45.1800,13.1100,1
2026-04-25T14:44:37.580538,iws7817_01,10.3.113.35,46.3700,13.3900,1
2026-04-25T14:44:38.660896,iws7817_02,10.3.113.8,46.1400,13.3100,1
2026-04-25T14:44:39.569412,iws7817_01,10.3.113.35,46.3800,13.3900,1
2026-04-25T14:44:39.578427,iws7817_03,10.3.113.25,45.1700,13.1100,1
2026-04-25T14:44:40.672417,iws7817_02,10.3.113.8,46.1500,13.3100,1
2026-04-25T14:44:41.579706,iws7817_01,10.3.113.35,46.3900,13.3900,1
2026-04-25T14:44:41.589445,iws7817_03,10.3.113.25,45.1900,13.1100,1
2026-04-25T14:44:42.693804,iws7817_02,10.3.113.8,46.1400,13.3100,1
2026-04-25T14:44:43.596380,iws7817_01,10.3.113.35,46.4000,13.3900,1
2026-04-25T14:44:43.602381,iws7817_03,10.3.113.25,45.1700,13.1100,1
2026-04-25T14:44:44.723413,iws7817_02,10.3.113.8,46.1400,13.3100,1
2026-04-25T14:44:45.611834,iws7817_01,10.3.113.35,46.4200,13.3900,1
2026-04-25T14:44:45.614834,iws7817_03,10.3.113.25,45.1500,13.1100,1
2026-04-25T14:44:46.737904,iws7817_02,10.3.113.8,46.1400,13.3100,1
2026-04-25T14:44:47.660496,iws7817_01,10.3.113.35,46.4200,13.3900,1
2026-04-25T14:44:47.661513,iws7817_03,10.3.113.25,45.1600,13.1100,1
2026-04-25T14:44:48.739128,iws7817_02,10.3.113.8,46.1600,13.3100,1
2026-04-25T14:44:49.639745,iws7817_03,10.3.113.25,45.1700,13.1100,1
2026-04-25T14:44:49.645357,iws7817_01,10.3.113.35,46.4400,13.3900,1
2026-04-25T14:44:50.808013,iws7817_02,10.3.113.8,46.1900,13.3100,1
2026-04-25T14:44:51.658744,iws7817_01,10.3.113.35,46.4400,13.3900,1
2026-04-25T14:44:51.662732,iws7817_03,10.3.113.25,45.1700,13.1100,1
2026-04-25T14:44:52.778064,iws7817_02,10.3.113.8,46.1800,13.3100,1
2026-04-25T14:44:53.671023,iws7817_01,10.3.113.35,46.4400,13.3900,1
2026-04-25T14:44:53.674030,iws7817_03,10.3.113.25,45.1900,13.1100,1
2026-04-25T14:44:54.770860,iws7817_02,10.3.113.8,46.1700,13.3100,1
2026-04-25T14:44:55.683368,iws7817_01,10.3.113.35,46.4500,13.3900,1
2026-04-25T14:44:55.688358,iws7817_03,10.3.113.25,45.1600,13.1100,1
2026-04-25T14:44:56.781974,iws7817_02,10.3.113.8,46.1700,13.3100,1
2026-04-25T14:44:57.694990,iws7817_01,10.3.113.35,46.4600,13.3900,1
2026-04-25T14:44:57.702934,iws7817_03,10.3.113.25,45.1900,13.1100,1
2026-04-25T14:44:58.809983,iws7817_02,10.3.113.8,46.1800,13.3100,1
2026-04-25T14:44:59.732546,iws7817_01,10.3.113.35,46.4600,13.3900,1
2026-04-25T14:44:59.735660,iws7817_03,10.3.113.25,45.1700,13.1100,1
2026-04-25T14:45:00.916973,iws7817_02,10.3.113.8,46.1700,13.3100,1
2026-04-25T14:45:01.720893,iws7817_01,10.3.113.35,46.4400,13.3900,1
2026-04-25T14:45:01.724889,iws7817_03,10.3.113.25,45.2000,13.1100,1
2026-04-25T14:45:02.817469,iws7817_02,10.3.113.8,46.2200,13.3100,1
2026-04-25T14:45:03.734923,iws7817_01,10.3.113.35,46.4500,13.3900,1
2026-04-25T14:45:03.741924,iws7817_03,10.3.113.25,45.2400,13.1100,1
2026-04-25T14:45:04.832560,iws7817_02,10.3.113.8,46.2000,13.3100,1
2026-04-25T14:45:05.749658,iws7817_01,10.3.113.35,46.4400,13.3900,1
2026-04-25T14:45:05.752702,iws7817_03,10.3.113.25,45.2800,13.1100,1
2026-04-25T14:45:06.864120,iws7817_02,10.3.113.8,46.2300,13.3100,1
2026-04-25T14:45:07.845506,iws7817_03,10.3.113.25,45.2700,13.1100,1
2026-04-25T14:45:07.850524,iws7817_01,10.3.113.35,46.4400,13.3900,1
2026-04-25T14:45:08.974897,iws7817_02,10.3.113.8,46.2900,13.3100,1
2026-04-25T14:45:09.777693,iws7817_01,10.3.113.35,46.4200,13.3900,1
2026-04-25T14:45:09.785696,iws7817_03,10.3.113.25,45.2900,13.1000,1
2026-04-25T14:45:10.881135,iws7817_02,10.3.113.8,46.2700,13.3100,1
2026-04-25T14:45:11.788335,iws7817_03,10.3.113.25,45.2700,13.1000,1
2026-04-25T14:45:11.795337,iws7817_01,10.3.113.35,46.4500,13.3900,1
2026-04-25T14:45:12.910683,iws7817_02,10.3.113.8,46.2600,13.3100,1
2026-04-25T14:45:13.811846,iws7817_01,10.3.113.35,46.4600,13.3900,1
2026-04-25T14:45:13.817028,iws7817_03,10.3.113.25,45.2700,13.1100,1
2026-04-25T14:45:14.905371,iws7817_02,10.3.113.8,46.3000,13.3100,1
2026-04-25T14:45:15.818348,iws7817_01,10.3.113.35,46.4800,13.3900,1
2026-04-25T14:45:15.828021,iws7817_03,10.3.113.25,45.2800,13.1100,1
2026-04-25T14:45:16.925152,iws7817_02,10.3.113.8,46.3000,13.3100,1
2026-04-25T14:45:17.907547,iws7817_01,10.3.113.35,46.4800,13.3900,1
2026-04-25T14:45:17.909515,iws7817_03,10.3.113.25,45.2400,13.1100,1
2026-04-25T14:45:19.012815,iws7817_02,10.3.113.8,46.3000,13.3100,1
